,name,calories,total_fat,protein,carbohydrate
2329,"Frozen novelties, fruit and juice bars",87,0.1g,1.20 g,20.20 g
2330,"Sourdock, young leaves (Alaska Native)",42,0.7g,2.30 g,6.50 g
2331,"Sweet Potato puffs, unprepared, frozen",161,3.6g,1.36 g,30.72 g
2332,"AUSTIN, sandwich-type, PB & J Crackers",484,22g,7.60 g,65.70 g
2333,"Mushrooms, with salt, cooked, shiitake",56,0.2g,1.56 g,14.39 g
2334,"Soup, condensed, canned, beef mushroom",61,2.4g,4.60 g,5.20 g
2335,"Fish, smoked, mixed species, whitefish",108,0.9g,23.40 g,0.00 g
2336,"Soup, Chinese restaurant, hot and sour",39,1.2g,2.58 g,4.35 g
2337,"Oranges, all commercial varieties, raw",47,0.1g,0.94 g,11.75 g
2338,"Keikitos (muffins), Latino bakery item",467,25g,6.81 g,53.16 g
2339,"Cereals ready-to-eat, RALSTON TASTEEOS",357,5.4g,10.71 g,75.50 g
2340,"Cake, dry mix, chocolate, pudding-type",391,8.1g,4.60 g,80.16 g
2341,"Ice creams, soft-serve, french vanilla",222,13g,4.10 g,22.20 g
2342,"Ice creams, soft-serve, light, vanilla",126,2.6g,4.90 g,21.80 g
2343,"Seeds, partially defatted, sesame meal",567,48g,16.96 g,26.04 g
2344,"Gravy, country style cream, CAMPBELL'S",76,5.1g,1.69 g,5.08 g
2345,"Pasta mix, unprepared, Italian lasagna",356,2g,10.90 g,73.77 g
2346,"Beverages, Kiwi Strawberry Juice Drink",47,0g,0.00 g,12.26 g
2347,"Beverages, FULL THROTTLE, Energy drink",46,0.1g,0.25 g,12.08 g
2348,"Snacks, wasabi-flavored, roasted, peas",432,14g,14.11 g,62.20 g
2349,"Sea lion, fat (Alaska Native), Steller",850,94g,0.90 g,0.00 g
2350,"PEPPERIDGE FARM, Cinnamon Swirl Bread",300,5g,0.01 g,52.90 g
2351,"English muffins, toasted, whole-wheat",221,2.3g,9.60 g,44.10 g
2352,"Willow, leaves in oil (Alaska Native)",592,61g,2.60 g,8.10 g
2353,"Fast foods, with egg and ham, biscuit",233,14g,10.64 g,16.37 g
2354,"WORTHINGTON Chili, unprepared, canned",126,4.5g,10.40 g,10.90 g
2355,"Broccoli, unprepared, chopped, frozen",26,0.3g,2.81 g,4.78 g
2356,"Vitasoy USA Organic Nasoya, Soft Tofu",70,3.5g,8.76 g,0.74 g
2357,"Beef, raw, separable fat, retail cuts",674,71g,8.21 g,0.00 g
2358,"Tortilla chips, salted, plain, yellow",497,22g,6.62 g,67.38 g
2359,"Cookies, chocolate wafer, gluten-free",541,30g,4.06 g,62.82 g
2360,"Pineapple, traditional varieties, raw",45,0.1g,0.55 g,11.82 g
2361,"Apples, with skin, red delicious, raw",59,0.2g,0.27 g,14.06 g
2362,"Peas, raw, mature seeds, split, green",352,1.2g,23.82 g,63.74 g
2363,"Babyfood, junior, beef noodle, dinner",57,1.9g,2.50 g,7.30 g
2364,"Beans, raw, mature seeds, small white",336,1.2g,21.11 g,62.25 g
2365,"Beerwurst, pork and beef, beer salami",277,23g,14.00 g,3.76 g
2366,"Rhubarb, leaves (Alaska Native), wild",61,0.5g,4.20 g,9.90 g
2367,"Beverages, caffeine free, cola, ZEVIA",0,0g,0.00 g,1.13 g
2368,"Fish, dry heat, cooked, walleye, pike",119,1.6g,24.54 g,0.00 g
2369,"USDA Commodity, smooth, Peanut Butter",588,50g,21.93 g,23.98 g
2370,"Fish, dried and salted, Atlantic, cod",290,2.4g,62.82 g,0.00 g
2371,"Fish, dry heat, cooked, Atlantic, cod",105,0.9g,22.83 g,0.00 g
2372,"Fish, granular, black and red, caviar",264,18g,24.60 g,4.00 g
2373,"Beverages, Cran Lemonade, OCEAN SPRAY",45,0g,0.07 g,11.12 g
2374,"Snacks, unsalted, plain, potato chips",536,35g,7.00 g,52.90 g
2375,"KEEBLER, Export Sodas Crackers, ZESTA",414,12g,5.60 g,74.00 g
2376,"Babyfood, strained, banana no tapioca",91,0.2g,1.00 g,21.34 g
2377,"USDA Commodity, canned, luncheon meat",189,13g,17.50 g,1.04 g
2378,"Restaurant, kung pao chicken, Chinese",129,7g,9.76 g,6.87 g
2379,"Potatoes, raw, flesh and skin, russet",79,0.1g,2.14 g,18.07 g
2380,"Cauliflower, with salt, cooked, green",32,0.3g,3.04 g,6.28 g
2381,"Waterchestnuts, raw, (matai), chinese",97,0.1g,1.40 g,23.94 g
2382,"Vegetables, unprepared, frozen, mixed",72,0.5g,3.33 g,13.47 g
2383,Ascidians (tunughnak) (Alaska Native),20,0.5g,3.80 g,0.00 g
2384,"Potatoes, unprepared, frozen, o'brien",76,0.1g,1.83 g,17.47 g
2385,"Ground turkey, raw, 15% fat, 85% lean",180,13g,16.90 g,0.00 g
2386,"Seeds, dried, watermelon seed kernels",557,47g,28.33 g,15.31 g
2387,"Candies, REESE'S NUTRAGEOUS Candy Bar",517,32g,11.28 g,52.80 g
2388,"Puddings, instant, dry mix, chocolate",378,1.9g,2.30 g,87.90 g
2389,"Puddings, regular, dry mix, chocolate",362,2.1g,2.60 g,89.30 g
2390,"Snacks, barbecue-flavor, potato chips",487,31g,6.51 g,55.92 g
2391,"Snacks, salted, plain, hard, pretzels",384,2.9g,10.04 g,80.39 g
2392,"Gourd, raw, white-flowered (calabash)",14,0g,0.62 g,3.39 g
2393,"Cereals, dry, instant, CREAM OF WHEAT",366,1.4g,10.60 g,75.50 g
2394,"Pie, commercially prepared, blueberry",232,10g,1.80 g,34.90 g
2395,"Babyfood, junior, carrots, vegetables",32,0.2g,0.80 g,7.20 g
2396,"Veal, raw, separable lean only, shank",94,1.6g,19.77 g,0.00 g
2397,"Sauce, original, BULL'S-EYE, barbecue",170,0.7g,0.91 g,39.95 g
2398,"Sauce, ready-to-serve, sweet and sour",150,0g,0.27 g,38.22 g
2399,"Pork, raw, 84% lean / 16% fat, ground",218,16g,17.99 g,0.44 g
2400,"MURRAY, Duplex Creme Sandwich Cookies",475,19g,4.90 g,72.60 g
2401,"Candies, KIT KAT BIG KAT Bar, HERSHEY",520,28g,6.24 g,63.64 g
2402,"Spanish rice mix, unprepared, dry mix",363,1.6g,10.62 g,76.45 g
2403,"Fish, smoked, mixed species, sturgeon",173,4.4g,31.20 g,0.00 g
2404,"Waffles, ready-to-heat, frozen, plain",285,9.7g,6.47 g,42.98 g
2405,"Gravy, microwavable, beef, CAMPBELL'S",42,1.7g,1.69 g,5.08 g
2406,"Snacks, salted, yucca (cassava) chips",515,26g,1.34 g,69.23 g
2407,"Candies, prepared-from-recipe, toffee",560,33g,1.07 g,64.72 g
2408,"Collards, unprepared, chopped, frozen",33,0.4g,2.69 g,6.46 g
2409,"Cornmeal, white, unenriched, degermed",370,1.8g,7.11 g,79.45 g
2410,"Soup, ready to serve, vegetable broth",5,0.1g,0.24 g,0.93 g
2411,"Lemonade, prepared with water, powder",14,0g,0.00 g,3.59 g
2412,"Peaches, drained, heavy syrup, canned",72,0.2g,0.52 g,18.43 g
2413,"Restaurant, onion rings, family style",356,19g,4.89 g,40.72 g
2414,"Frostings, dry mix, creamy, chocolate",389,5.2g,1.30 g,92.00 g
2415,"Beans, raw, mature seeds, red, kidney",337,1.1g,22.53 g,61.29 g
2416,"Moose, braised (Alaska Native), liver",155,4.9g,24.38 g,3.43 g
2417,"Apples, unheated, unsweetened, frozen",48,0.3g,0.28 g,12.31 g
2418,"Oil, sunflower, mid-oleic, industrial",884,100g,0.00 g,0.00 g
2419,"Fish, dry heat, cooked, striped, bass",124,3g,22.73 g,0.00 g
2420,"Mouse nuts, seedlings (Alaska Native)",104,1.1g,7.30 g,16.30 g
2421,"Fast foods, breaded and fried, shrimp",308,19g,7.84 g,27.99 g
2422,"Peanut butter, with salt, chunk style",589,50g,24.06 g,21.57 g
2423,"Fish, dry heat, cooked, white, sucker",119,3g,21.49 g,0.00 g
2424,"Candies, with almonds, milk chocolate",526,34g,9.00 g,53.40 g
2425,"Babyfood, junior, turkey sticks, meat",188,14g,13.70 g,1.40 g
2426,"Chocolate, 45- 59% cacao solids, dark",546,31g,4.88 g,61.17 g
2427,"Babyfood, junior, tutti frutti, fruit",69,0.4g,0.40 g,16.00 g
2428,"Beef Pot Pie, prepared, frozen entree",220,11g,7.25 g,22.05 g
2429,"CRACKER BARREL, grilled sirloin steak",203,8.5g,31.52 g,0.00 g
2430,"PIZZA HUT 12"" Cheese Pizza, Pan Crust",280,13g,11.73 g,29.93 g
2431,"Bamboo shoots, drained solids, canned",19,0.4g,1.72 g,3.22 g
2432,"Balsam-pear (bitter gourd), raw, pods",17,0.2g,1.00 g,3.70 g
2433,"MURRAY, Chocolatey Chip Thins Cookies",466,16g,7.10 g,73.60 g
2434,"Fish, eggs (Alaska Native), whitefish",104,2.9g,14.66 g,4.89 g
2435,"Beverages, ready to drink, black, tea",0,0g,0.00 g,0.00 g
2436,"Babyfood, orange and pineapple, juice",48,0.1g,0.50 g,11.70 g
2437,"Nuts, blanched, hazelnuts or filberts",629,61g,13.70 g,17.00 g
2438,"Restaurant, hash browns, family style",197,9g,2.49 g,26.59 g
2439,"New england brand sausage, beef, pork",161,7.6g,17.27 g,4.83 g
2440,"Pancakes, prepared from recipe, plain",227,9.7g,6.40 g,28.30 g
2441,"McDONALD'S, Sausage McMUFFIN with Egg",274,18g,12.59 g,17.28 g
2442,"SPAGHETTIOS, SpaghettiOs plus Calcium",67,0.4g,2.38 g,13.89 g
2443,"USDA Commodity, frozen, Potato wedges",123,2.2g,2.70 g,25.50 g
2444,"Babyfood, strained, beets, vegetables",34,0.1g,1.30 g,7.70 g
2445,"Babyfood, toddler, dices, green beans",29,0.2g,1.20 g,5.70 g
2446,"Restaurant, cheese enchilada, Mexican",273,18g,11.24 g,15.45 g
2447,"Beef, cooked, breakfast strips, cured",449,34g,31.30 g,1.40 g
2448,"Fish, meat (Alaska Native), devilfish",97,5.3g,11.70 g,0.00 g
2449,"Egg rolls, heated, refrigerated, pork",222,7.2g,9.94 g,29.50 g
2450,"McDONALD'S, Tangy Honey Mustard Sauce",167,5.8g,1.32 g,28.81 g
2451,"Baking chocolate, liquid, unsweetened",472,48g,12.10 g,36.20 g
2452,"Babyfood, strained, applesauce, fruit",41,0.2g,0.20 g,10.80 g
2453,"Mollusks, raw, mixed species, scallop",69,0.5g,12.06 g,3.18 g
2454,"Soybeans, raw, sprouted, mature seeds",122,6.7g,13.09 g,9.57 g
2455,"Turkey, raw, meat and skin, dark meat",161,9g,19.81 g,0.15 g
2456,"Mollusks, raw, mixed species, abalone",105,0.8g,17.10 g,6.01 g
2457,"Macaroni, cooked, enriched, vegetable",128,0.1g,4.53 g,26.61 g
2458,"SUNSHINE, Original Crackers, CHEEZ-IT",507,26g,11.40 g,57.40 g
2459,"Custard-apple, raw, (bullock's-heart)",101,0.6g,1.70 g,25.20 g
2460,"KASHI, Original 7-Grain Crackers, TLC",385,12g,13.90 g,63.20 g
2461,"Potatoes, with salt, skin only, baked",198,0.1g,4.29 g,46.06 g
2462,"TACO BELL, BURRITO SUPREME with steak",183,7.3g,9.13 g,20.32 g
2463,"Vitasoy USA, Organic Nasoya Firm Tofu",84,4.4g,8.90 g,2.30 g
2464,"Gravy, ready-to-serve, canned, turkey",51,2.1g,2.60 g,5.10 g
2465,"PIZZA HUT 14"" Cheese Pizza, Pan Crust",276,11g,10.85 g,32.85 g
2466,"Snacks, NUTRI-GRAIN FRUIT AND NUT BAR",403,11g,9.38 g,66.72 g
2467,"Bananas, or banana powder, dehydrated",346,1.8g,3.89 g,88.28 g
2468,"Soup, powder, dry, cream of vegetable",446,24g,8.00 g,52.10 g
2469,"Babyfood, strained, with eggs, cereal",58,1.5g,2.20 g,8.00 g
2470,"Babyfood, dry fortified, rice, cereal",390,2.2g,6.65 g,83.14 g
2471,SILK Vanilla soy yogurt (family size),79,1.8g,2.64 g,13.66 g
2472,"Snack, hard chocolate coated, Pretzel",467,18g,7.05 g,70.07 g
2473,"Frozen yogurts, soft-serve, chocolate",160,6g,4.00 g,24.90 g
2474,"Tomato juice, with salt added, canned",17,0.3g,0.85 g,3.53 g
2475,"Tamales, masa and pork filling (Hopi)",168,4.7g,13.19 g,18.28 g
2476,"Beverages, Protein powder whey based",352,1.6g,78.13 g,6.25 g
2477,"Broccoli, unprepared, spears, frozen",29,0.3g,3.06 g,5.35 g
2478,"Vitasoy USA Nasoya, Lite Silken Tofu",43,1.1g,8.21 g,0.00 g
2479,"Vitasoy USA Azumaya, Extra Firm Tofu",88,4.6g,10.07 g,1.53 g
2480,"Taro, without salt, cooked, tahitian",44,0.7g,4.16 g,6.85 g
2481,"Bread, whole wheat, french or vienna",239,1g,8.33 g,49.10 g
2482,"Water, NAYA, non-carbonated, bottled",0,0g,0.00 g,0.00 g
2483,"Fast foods, french toast with butter",264,14g,7.66 g,26.70 g
2484,"Soup, dry, chicken broth or bouillon",267,14g,16.66 g,18.01 g
2485,"Apples, with skin, granny smith, raw",58,0.2g,0.44 g,13.61 g
2486,"Soup, restaurant-prepared, shark fin",46,2g,3.20 g,3.80 g
2487,"Soup, dry, beef flavor, ramen noodle",441,18g,10.06 g,60.34 g
2488,"Gravy, savory beef, HEINZ Home Style",39,1.1g,1.09 g,6.24 g
2489,"Babyfood, with calcium, apple, juice",46,0.1g,0.06 g,11.10 g
2490,"ARBY'S, classic, roast beef sandwich",242,10g,15.17 g,22.21 g
2491,"McDONALD'S, Crispy, RANCH SNACK WRAP",275,15g,11.48 g,23.22 g
2492,"Maraschino cherries, drained, canned",165,0.2g,0.22 g,41.97 g
2493,"Muffins, commercially prepared, corn",305,8.4g,5.90 g,51.00 g
2494,"Pork sausage, cooked, reduced sodium",271,22g,9.41 g,8.13 g
2495,"Cornmeal, yellow, enriched, degermed",370,1.8g,7.11 g,79.45 g
2496,"BEAR NAKED, Double Chocolate Cookies",423,17g,6.60 g,66.90 g
2497,"Soup, with water, low sodium, tomato",30,0.3g,0.79 g,6.57 g
2498,"TACO BELL, BURRITO SUPREME with beef",183,6.8g,7.03 g,23.37 g
2499,"MURRAY, Shortbread Bites, SUGAR FREE",371,16g,6.50 g,75.30 g
2500,"WENDY'S, with cheese, CLASSIC DOUBLE",241,14g,16.52 g,11.71 g
2501,"Potatoes, raw, flesh and skin, white",69,0.1g,1.68 g,15.71 g
2502,"Potatoes, baked, flesh and skin, red",89,0.2g,2.30 g,19.59 g
2503,"APPLEBEE'S, 9 oz house sirloin steak",189,9.1g,26.85 g,0.00 g
2504,"Soup, condensed, canned, beef noodle",67,2.5g,3.85 g,7.16 g
2505,"Pork sausage, unprepared, link/patty",288,25g,15.39 g,0.93 g
2506,"Pork and beef sausage, cooked, fresh",396,36g,13.80 g,2.70 g
2507,"Danish pastry, unenriched, raspberry",371,19g,5.40 g,47.80 g
2508,"Potatoes, solids and liquids, canned",44,0.1g,1.20 g,9.89 g
2509,"Babyfood, Baby MUM MUM Rice Biscuits",391,0.9g,12.50 g,83.21 g
2510,"Snacks, unsalted, regular, trail mix",462,29g,13.80 g,44.90 g
2511,"Ground turkey, raw, 7% fat, 93% lean",150,8.3g,18.73 g,0.00 g
2512,"Soup, condensed, canned, oyster stew",48,3.1g,1.72 g,3.32 g
2513,"KELLOGG'S, Blueberry, Pancakes, EGGO",245,7.4g,5.30 g,39.90 g
2514,"McDONALD'S, Sausage Biscuit with Egg",311,22g,11.27 g,19.28 g
2515,"Soup, condensed, canned, tomato rice",93,2.1g,1.64 g,17.08 g
2516,"KELLOGG'S, Strawberry, Waffles, EGGO",265,8.7g,5.50 g,41.60 g
2517,"KASHI, Zesty Salsa, Pita Crisps, TLC",381,9.3g,11.00 g,71.60 g
2518,"Babyfood, strained, peas, vegetables",50,0.4g,3.27 g,8.36 g
2519,"Mollusks, raw, wild, eastern, oyster",51,1.7g,5.71 g,2.72 g
2520,"Alcoholic beverage, red, table, wine",85,0g,0.07 g,2.61 g
2521,"Beef, smoked, cooked, sausage, cured",312,27g,14.11 g,2.42 g
2522,"Fast foods, miniature cinnamon rolls",403,18g,7.02 g,53.38 g
2523,"Caribou, raw (Alaska Native), tongue",260,23g,13.70 g,0.00 g
2524,"Beverages, diet, lemon, instant, tea",2,0g,0.02 g,0.44 g
2525,"Snacks, corn, brown rice, rice cakes",385,3.2g,8.40 g,81.20 g
2526,"Lean Pockets, Meatballs & Mozzarella",240,7.7g,10.49 g,32.28 g
2527,"Chili with beans, microwavable bowls",100,3.7g,5.85 g,10.88 g
2528,"Frozen novelties, orange, juice type",95,0g,0.50 g,23.17 g
2529,"Babyfood, junior, squash, vegetables",24,0.2g,0.81 g,5.73 g
2530,"Cheese, cheddar or colby, low-sodium",398,33g,24.35 g,1.91 g
2531,"Pork, raw, 96% lean / 4% fat, ground",121,4g,21.10 g,0.21 g
2532,"KEEBLER, Dash of Salt Crackers, CLUB",490,22g,6.80 g,66.30 g
2533,"MURRAY, Lemon Creme Sandwich Cookies",479,19g,4.70 g,73.70 g
2534,"Noodles, dry, enriched, spinach, egg",382,4.6g,14.61 g,70.32 g
2535,"Veal, raw, separable fat, Australian",509,52g,9.91 g,0.00 g
2536,"Pineapple, sweetened, chunks, frozen",86,0.1g,0.40 g,22.20 g
2537,"Sauce, ready-to-serve, canned, pizza",54,1.2g,2.18 g,8.66 g
2538,"Chocolate, 70-85% cacao solids, dark",598,43g,7.79 g,45.90 g
2539,"Seeds, dried, safflower seed kernels",517,38g,16.18 g,34.29 g
2540,"Waffles, prepared from recipe, plain",291,14g,7.90 g,32.90 g
2541,"Ostrich, pan-broiled, cooked, ground",175,7.1g,26.15 g,0.00 g
2542,"Gravy, fat free, chicken, CAMPBELL'S",25,0g,1.69 g,5.08 g
2543,"Candies, prepared-from-recipe, taffy",397,3.3g,0.03 g,91.56 g
2544,"PACE, Jalapenos Nacho Sliced Peppers",13,0g,0.00 g,3.33 g
2545,"Cream substitute, powdered, flavored",482,21g,0.68 g,75.42 g
2546,"Lima beans, raw, mature seeds, large",338,0.7g,21.46 g,63.38 g
2547,"Artificial Blueberry Muffin Mix, dry",407,8.7g,4.70 g,77.45 g
2548,"Beverages, canned, grape juice drink",57,0g,0.00 g,14.55 g
2549,"Cheese, with fruit, creamed, cottage",97,3.9g,10.69 g,4.61 g
2550,"Formulated bar, chocolate, POWER BAR",363,3.1g,14.15 g,69.63 g
2551,"Snacks, unsalted, sweet potato chips",532,32g,2.94 g,56.82 g
2552,"Alcoholic beverage, canned, daiquiri",125,0g,0.00 g,15.70 g
2553,"Turnip greens, no salt added, canned",19,0.3g,1.36 g,2.81 g
2554,"Chicken, raw, meat and skin, stewing",258,20g,17.55 g,0.00 g
2555,"Babyfood, toddler, beef stew, dinner",51,1.2g,5.10 g,5.50 g
2556,"Snacks, mixed flavors, granola bites",451,18g,7.17 g,66.27 g
2557,"CAMPBELL'S, low sodium, Tomato juice",21,0g,0.82 g,4.12 g
2558,"Beverages, bottled, Whiskey sour mix",87,0.1g,0.10 g,21.40 g
2559,"Fish, dry heat, cooked, chum, salmon",154,4.8g,25.82 g,0.00 g
2560,"Fish, dry heat, cooked, pink, salmon",153,5.3g,24.58 g,0.00 g
2561,"Babyfood, strained, carrots and beef",59,2.5g,3.40 g,5.70 g
2562,"Gravy, brown with onions, CAMPBELL'S",42,1.7g,0.00 g,6.78 g
2563,"Cereals, cooked with water, WHEATENA",56,0.5g,2.00 g,11.80 g
2564,"Chocolate, 60-69% cacao solids, dark",579,38g,6.12 g,52.42 g
2565,"Cookies, refrigerated dough, oatmeal",424,19g,5.40 g,59.10 g
2566,"Game meat, roasted, cooked, squirrel",173,4.7g,30.77 g,0.00 g
2567,"Fish, liver (Alaska Native), lingcod",424,42g,5.60 g,6.00 g
2568,CAMPBELL'S Homestyle Minestrone Soup,41,0.4g,1.63 g,7.35 g
2569,"Brussels sprouts, unprepared, frozen",41,0.4g,3.78 g,7.86 g
2570,"Alcoholic beverage, all, table, wine",83,0g,0.07 g,2.72 g
2571,"Potatoes, without salt, flesh, baked",93,0.1g,1.96 g,21.55 g
2572,"Wheat flour, soft wheat, whole-grain",332,2g,9.61 g,74.48 g
2573,"KELLOGG'S, Buttermilk, Waffles, EGGO",278,11g,6.60 g,39.00 g
2574,"Fast foods, with chicken, quesadilla",294,15g,15.05 g,24.04 g
2575,"Snacks, nacho cheese, tortilla chips",519,27g,7.36 g,60.81 g
2576,"Snacks, ranch-flavor, tortilla chips",501,25g,7.19 g,62.74 g
2577,"Veal, raw, separable lean only, loin",114,2.9g,21.85 g,0.00 g
2578,"Desserts, dry mix, chocolate, rennin",363,3.3g,2.40 g,91.50 g
2579,"Frostings, ready-to-eat, coconut-nut",433,24g,1.50 g,52.70 g
2580,"Cereals, dry, chocolate, MALT-O-MEAL",363,0.8g,10.60 g,79.55 g
2581,"Fiddlehead ferns, unprepared, frozen",34,0.4g,4.31 g,5.74 g
2582,"Guava nectar, canned, with sucralose",48,0.1g,0.30 g,13.30 g
2583,"Egg, pasteurized, frozen, raw, whole",147,10g,12.33 g,1.01 g
2584,"Egg, pasteurized, frozen, raw, white",48,0g,10.20 g,1.04 g
2585,"Beverages, regular, cola, carbonated",42,0.3g,0.00 g,10.36 g
2586,"Sauce, pepper or hot, ready-to-serve",11,0.4g,0.51 g,1.75 g
2587,"Game meat, roasted, cooked, antelope",150,2.7g,29.45 g,0.00 g
2588,"Soup, homemade (Alaska Native), fish",72,2.2g,7.40 g,5.60 g
2589,"KASHI, Country Cheddar Crackers, TLC",445,16g,9.80 g,68.00 g
2590,"Sauce, prepared from recipe, sofrito",237,18g,12.80 g,5.46 g
2591,"Fish, raw, mixed species, yellowtail",146,5.2g,23.14 g,0.00 g
2592,"Cheese, nonfat or fat free, American",126,0g,21.05 g,10.53 g
2593,"Candies, ALMOND JOY BITES, HERSHEY'S",563,35g,5.58 g,57.54 g
2594,"Candies, SYMPHONY Milk Chocolate Bar",531,31g,8.51 g,58.01 g
2595,"Cheese, pimento, pasteurized process",375,31g,22.13 g,1.73 g
2596,"Seeds, dried, sunflower seed kernels",584,51g,20.78 g,20.00 g
2597,"ARCHWAY Home Style Cookies, Molasses",403,12g,4.25 g,69.41 g
2598,"Papaya, drained, heavy syrup, canned",206,0.6g,0.14 g,55.83 g
2599,"Snacks, lightly salted, potato chips",560,35g,6.72 g,53.54 g
2600,"French toast, ready-to-heat, frozen",213,6.1g,7.40 g,32.10 g
2601,"Beverages, sugar free, Energy Drink",4,0g,0.42 g,0.42 g
2602,"Beverages, Protein powder soy based",388,5.6g,55.56 g,28.89 g
2603,"Veal, cooked, separable fat, breast",521,53g,9.40 g,0.00 g
2604,"Snacks, low fat, microwave, popcorn",424,9.5g,12.60 g,72.00 g
2605,"Lemonade, white, frozen concentrate",196,0.7g,0.22 g,49.89 g
2606,"Snacks, salted, soy chips or crisps",385,7.4g,26.50 g,53.15 g
2607,"Swamp cabbage, raw, (skunk cabbage)",19,0.2g,2.60 g,3.14 g
2608,"Restaurant, black bean soup, Latino",103,2.6g,5.10 g,14.79 g
2609,"Babyfood, strained, apples with ham",62,0.9g,2.60 g,10.90 g
2610,"Snacks, rye, brown rice, rice cakes",386,3.8g,8.10 g,79.90 g
2611,"Oil, bowhead (Alaska Native), whale",900,100g,0.00 g,0.00 g
2612,"Oil, low linolenic, soy, industrial",900,100g,0.00 g,0.00 g
2613,"Oil, high oleic, canola, industrial",900,100g,0.00 g,0.00 g
2614,"Fish, dry heat, cooked, ocean, pout",102,1.2g,21.33 g,0.00 g
2615,"MURRAY, Oatmeal Cookies, SUGAR FREE",451,23g,6.70 g,66.60 g
2616,"Ham, low sodium, extra lean, smoked",141,2.7g,18.52 g,10.70 g
2617,"Babyfood, junior, meat sticks, meat",184,15g,13.40 g,1.10 g
2618,"Frozen yogurts, soft-serve, vanilla",159,5.6g,4.00 g,24.20 g
2619,"Pork and turkey sausage, pre-cooked",342,31g,12.05 g,3.63 g
2620,"WENDY'S, with cheese, Jr. Hamburger",256,12g,13.06 g,24.97 g
2621,"Turkey, deli cut, rotisserie, white",112,3g,13.50 g,7.70 g
2622,"Candies, SPECIAL DARK Chocolate Bar",556,32g,5.54 g,60.49 g
2623,"SUNSHINE, Asiago Crackers, CHEEZ-IT",502,25g,8.70 g,62.60 g
2624,"Peppers, freeze-dried, green, sweet",314,3g,17.90 g,68.70 g
2625,"McDONALD'S, Fruit 'n Yogurt Parfait",105,1.3g,2.73 g,20.72 g
2626,"Soup, condensed, canned, black bean",91,1.3g,4.83 g,15.42 g
2627,"PEPPERIDGE FARM, Pumpernickel Bread",259,3.4g,0.01 g,46.90 g
2628,"Stew, squash (Navajo), corn, mutton",103,4.3g,8.62 g,7.27 g
2629,"Stew, dumpling with mutton (Navajo)",101,3.8g,8.71 g,8.03 g
2630,"Danish pastry, unenriched, cinnamon",403,22g,7.00 g,44.60 g
2631,"Potatoes, home-prepared, hash brown",265,13g,3.00 g,35.11 g
2632,"APPLEBEE'S, chicken tenders platter",297,16g,19.62 g,17.98 g
2633,"Chicken, raw, meat and skin, capons",234,17g,18.77 g,0.00 g
2634,"Soup, condensed, canned, chili beef",117,2.5g,5.09 g,18.86 g
2635,"Cake, commercially prepared, sponge",290,2.7g,5.40 g,61.00 g
2636,"Beverages, Cran Cherry, OCEAN SPRAY",46,0g,0.19 g,12.76 g
2637,"Potatoes, prepared, frozen, o'brien",204,13g,2.22 g,21.86 g
2638,"Soup, condensed, canned, green, pea",125,2.2g,6.54 g,20.18 g
2639,"Soup, condensed, canned, minestrone",68,2.1g,3.48 g,9.17 g
2640,"Cake, dry mix, marble, pudding-type",416,12g,3.40 g,79.50 g
2641,"KELLOGG'S, Blueberry, Waffles, EGGO",265,8.7g,5.50 g,41.70 g
2642,"Potatoes, unprepared, whole, frozen",78,0.2g,2.38 g,17.47 g
2643,"Cookies, regular, dry mix, brownies",434,15g,4.00 g,76.60 g
2644,"FAMOUS AMOS, Chocolate Chip Cookies",503,24g,4.50 g,67.70 g
2645,"Beef, jellied, luncheon meat, cured",111,3.3g,19.00 g,0.00 g
2646,"Veal, raw, separable lean only, rib",120,3.9g,19.97 g,0.00 g
2647,"Caribou, raw (Alaska Native), liver",122,3.9g,15.00 g,6.80 g
2648,"Snacks, taco-flavor, tortilla chips",480,24g,7.90 g,63.10 g
2649,"Mustard spinach, raw, (tendergreen)",22,0.3g,2.20 g,3.90 g
2650,"Salad dressing, regular, mayonnaise",680,75g,0.96 g,0.57 g
2651,"Crustaceans, raw, northern, lobster",77,0.8g,16.52 g,0.00 g
2652,"KEEBLER, Reduced Fat Crackers, CLUB",441,14g,6.10 g,73.10 g
2653,"Sauce, original, OPEN PIT, barbecue",132,1.4g,0.44 g,29.45 g
2654,"Cornmeal, white, enriched, degermed",370,1.8g,7.11 g,79.45 g
2655,"Pie, commercially prepared, pumpkin",243,9.8g,3.90 g,34.83 g
2656,"Snacks, salted, plain, potato chips",532,34g,6.39 g,53.83 g
2657,"Soup, home-prepared, chicken, stock",36,1.2g,2.52 g,3.53 g
